date,wm_yr_wk,weekday,wday,month,year,d,event_name_1,event_type_1,event_name_2,event_type_2,snap_CA,snap_TX,snap_WI,is_religious_holiday,is_national_holiday,is_cultural_holiday,is_sporting_holiday,num_holidays,ReligiousHolidayNextMonth,ReligiousHolidayLastMonth,ReligiousHolidayThisMonth,ReligiousHolidayNextWeek,ReligiousHolidayLastWeek,ReligiousHolidayThisWeek,NationalHolidayNextMonth,NationalHolidayLastMonth,NationalHolidayThisMonth,NationalHolidayNextWeek,NationalHolidayLastWeek,NationalHolidayThisWeek,CulturalHolidayNextMonth,CulturalHolidayLastMonth,CulturalHolidayThisMonth,CulturalHolidayNextWeek,CulturalHolidayLastWeek,CulturalHolidayThisWeek,SportingHolidayNextMonth,SportingHolidayLastMonth,SportingHolidayThisMonth,SportingHolidayNextWeek,SportingHolidayLastWeek,SportingHolidayThisWeek,AllHolidayNextMonth,AllHolidayLastMonth,AllHolidayThisMonth,AllHolidayNextWeek,AllHolidayLastWeek,AllHolidayThisWeek
2011-01-29,11101.0,Saturday,1,1,2011,d_1,,,,,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,1.0,0.0,0,0.0,0.0,0,1.0,0.0,0,0.0,0.0,0,1.0,0.0,0,1.0,0.0,0,3.0,0.0,0,1.0,0.0,0
2011-01-30,11101.0,Sunday,2,1,2011,d_2,,,,,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,1.0,0.0,0,0.0,0.0,0,1.0,0.0,0,0.0,0.0,0,1.0,0.0,0,1.0,0.0,0,3.0,0.0,0,1.0,0.0,0
2011-01-31,11101.0,Monday,3,1,2011,d_3,,,,,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,1.0,0.0,0,0.0,0.0,0,1.0,0.0,0,0.0,0.0,0,1.0,0.0,0,0.0,0.0,1,3.0,0.0,0,0.0,0.0,1
2011-02-01,11101.0,Tuesday,4,2,2011,d_4,,,,,1.0,1.0,0.0,0,0,0,0,0,3.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.0,0.0,0,1.0,0.0,1,0.0,0.0,0,0.0,0.0,1,0.0,0.0,1,4.0,0.0,3,0.0,0.0,1
2011-02-02,11101.0,Wednesday,5,2,2011,d_5,,,,,1.0,0.0,1.0,0,0,0,0,0,3.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.0,0.0,0,1.0,0.0,1,0.0,0.0,0,0.0,0.0,1,0.0,0.0,1,4.0,0.0,3,0.0,0.0,1
2011-02-03,11101.0,Thursday,6,2,2011,d_6,,,,,1.0,1.0,1.0,0,0,0,0,0,3.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.0,0.0,0,1.0,0.0,1,0.0,0.0,0,0.0,0.0,1,0.0,0.0,1,4.0,0.0,3,0.0,0.0,1
2011-02-04,11101.0,Friday,7,2,2011,d_7,,,,,1.0,0.0,0.0,0,0,0,0,0,3.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.0,0.0,0,1.0,0.0,1,0.0,0.0,0,0.0,0.0,1,0.0,0.0,1,4.0,0.0,3,0.0,0.0,1
2011-02-05,11102.0,Saturday,1,2,2011,d_8,,,,,1.0,1.0,1.0,0,0,0,0,0,3.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.0,0.0,0,1.0,0.0,1,0.0,0.0,0,0.0,0.0,1,0.0,0.0,1,4.0,0.0,3,0.0,0.0,1
2011-02-06,11102.0,Sunday,2,2,2011,d_9,SuperBowl,Sporting,,,1.0,1.0,1.0,0,0,0,1,1,3.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.0,0.0,0,1.0,0.0,1,0.0,0.0,0,0.0,0.0,1,0.0,0.0,1,4.0,0.0,3,0.0,0.0,1
2011-02-07,11102.0,Monday,3,2,2011,d_10,,,,,1.0,1.0,0.0,0,0,0,0,0,3.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.0,0.0,0,1.0,0.0,1,1.0,0.0,0,0.0,0.0,1,0.0,1.0,0,4.0,0.0,3,1.0,1.0,0
2011-02-08,11102.0,Tuesday,4,2,2011,d_11,,,,,1.0,0.0,1.0,0,0,0,0,0,3.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.0,0.0,0,1.0,0.0,1,1.0,0.0,0,0.0,0.0,1,0.0,1.0,0,4.0,0.0,3,1.0,1.0,0
2011-02-09,11102.0,Wednesday,5,2,2011,d_12,,,,,1.0,1.0,1.0,0,0,0,0,0,3.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.0,0.0,0,1.0,0.0,1,1.0,0.0,0,0.0,0.0,1,0.0,1.0,0,4.0,0.0,3,1.0,1.0,0
2011-02-10,11102.0,Thursday,6,2,2011,d_13,,,,,1.0,0.0,0.0,0,0,0,0,0,3.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.0,0.0,0,1.0,0.0,1,1.0,0.0,0,0.0,0.0,1,0.0,1.0,0,4.0,0.0,3,1.0,1.0,0
2011-02-11,11102.0,Friday,7,2,2011,d_14,,,,,0.0,1.0,1.0,0,0,0,0,0,3.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.0,0.0,0,1.0,0.0,1,1.0,0.0,0,0.0,0.0,1,0.0,1.0,0,4.0,0.0,3,1.0,1.0,0
2011-02-12,11103.0,Saturday,1,2,2011,d_15,,,,,0.0,1.0,1.0,0,0,0,0,0,3.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.0,0.0,0,1.0,0.0,1,1.0,0.0,0,0.0,0.0,1,0.0,1.0,0,4.0,0.0,3,1.0,1.0,0
2011-02-13,11103.0,Sunday,2,2,2011,d_16,,,,,0.0,1.0,0.0,0,0,0,0,0,3.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.0,0.0,0,1.0,0.0,1,1.0,0.0,0,0.0,0.0,1,0.0,1.0,0,4.0,0.0,3,1.0,1.0,0
